start_tsc 9263541789443575 start_tsp 1739292286982504362
NODE_N=50
Initialization...
setting device 0 with name NVIDIA A100-PCIE-40GB
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 3200000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 6400000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 250
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 500
OK, begin to generate orders.
CPU_Times,1739292287507620352,1739292288044127744,536507392
Overlap_Times,0,0,0
RUNTIME cudaMalloc_v3020 (cbid=20), 1739292287507631134,1739292287507770316,139182, process 3626769, thread 2732793856, correlation 1
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031049552,1739292288031049662,110, process 3626769, thread 2732793856, correlation 39
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031049722,1739292288031049812,90, process 3626769, thread 2732793856, correlation 40
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031049872,1739292288031050073,201, process 3626769, thread 2732793856, correlation 41
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031050213,1739292288031050393,180, process 3626769, thread 2732793856, correlation 42
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031050463,1739292288031050564,101, process 3626769, thread 2732793856, correlation 43
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031050614,1739292288031050814,200, process 3626769, thread 2732793856, correlation 44
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031050874,1739292288031051085,211, process 3626769, thread 2732793856, correlation 45
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031051495,1739292288031051605,110, process 3626769, thread 2732793856, correlation 46
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031051666,1739292288031051756,90, process 3626769, thread 2732793856, correlation 47
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031051816,1739292288031052006,190, process 3626769, thread 2732793856, correlation 48
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031052177,1739292288031052357,180, process 3626769, thread 2732793856, correlation 49
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031052417,1739292288031052517,100, process 3626769, thread 2732793856, correlation 50
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031052578,1739292288031052778,200, process 3626769, thread 2732793856, correlation 51
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031052838,1739292288031053048,210, process 3626769, thread 2732793856, correlation 52
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031053409,1739292288031053509,100, process 3626769, thread 2732793856, correlation 53
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031053569,1739292288031053680,111, process 3626769, thread 2732793856, correlation 54
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031053750,1739292288031053940,190, process 3626769, thread 2732793856, correlation 55
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031054090,1739292288031054270,180, process 3626769, thread 2732793856, correlation 56
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031054341,1739292288031054431,90, process 3626769, thread 2732793856, correlation 57
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031054491,1739292288031054691,200, process 3626769, thread 2732793856, correlation 58
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031054751,1739292288031054962,211, process 3626769, thread 2732793856, correlation 59
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031055753,1739292288031055874,121, process 3626769, thread 2732793856, correlation 60
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031055924,1739292288031056024,100, process 3626769, thread 2732793856, correlation 61
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031056084,1739292288031056294,210, process 3626769, thread 2732793856, correlation 62
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031056445,1739292288031056645,200, process 3626769, thread 2732793856, correlation 63
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031056715,1739292288031056805,90, process 3626769, thread 2732793856, correlation 64
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031056866,1739292288031057086,220, process 3626769, thread 2732793856, correlation 65
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031057146,1739292288031057356,210, process 3626769, thread 2732793856, correlation 66
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031058008,1739292288031058118,110, process 3626769, thread 2732793856, correlation 67
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031058178,1739292288031058268,90, process 3626769, thread 2732793856, correlation 68
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031058328,1739292288031058518,190, process 3626769, thread 2732793856, correlation 69
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031058639,1739292288031058829,190, process 3626769, thread 2732793856, correlation 70
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031058889,1739292288031058990,101, process 3626769, thread 2732793856, correlation 71
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031059050,1739292288031059250,200, process 3626769, thread 2732793856, correlation 72
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031059310,1739292288031059520,210, process 3626769, thread 2732793856, correlation 73
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031059841,1739292288031059941,100, process 3626769, thread 2732793856, correlation 74
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031060001,1739292288031060112,111, process 3626769, thread 2732793856, correlation 75
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031060172,1739292288031060362,190, process 3626769, thread 2732793856, correlation 76
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031060492,1739292288031060673,181, process 3626769, thread 2732793856, correlation 77
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031060743,1739292288031060833,90, process 3626769, thread 2732793856, correlation 78
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031060893,1739292288031061094,201, process 3626769, thread 2732793856, correlation 79
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031061154,1739292288031061364,210, process 3626769, thread 2732793856, correlation 80
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031062476,1739292288031062706,230, process 3626769, thread 2732793856, correlation 81
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031062766,1739292288031062877,111, process 3626769, thread 2732793856, correlation 82
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031062937,1739292288031063127,190, process 3626769, thread 2732793856, correlation 83
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031063267,1739292288031063448,181, process 3626769, thread 2732793856, correlation 84
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031063538,1739292288031063638,100, process 3626769, thread 2732793856, correlation 85
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031063698,1739292288031063899,201, process 3626769, thread 2732793856, correlation 86
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031063959,1739292288031064169,210, process 3626769, thread 2732793856, correlation 87
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031064580,1739292288031064680,100, process 3626769, thread 2732793856, correlation 88
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031064740,1739292288031064830,90, process 3626769, thread 2732793856, correlation 89
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031064890,1739292288031065081,191, process 3626769, thread 2732793856, correlation 90
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031065211,1739292288031065391,180, process 3626769, thread 2732793856, correlation 91
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031065462,1739292288031065552,90, process 3626769, thread 2732793856, correlation 92
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031065612,1739292288031065812,200, process 3626769, thread 2732793856, correlation 93
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031065872,1739292288031066083,211, process 3626769, thread 2732793856, correlation 94
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031066453,1739292288031066554,101, process 3626769, thread 2732793856, correlation 95
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031066614,1739292288031066704,90, process 3626769, thread 2732793856, correlation 96
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031066774,1739292288031066965,191, process 3626769, thread 2732793856, correlation 97
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031067125,1739292288031067305,180, process 3626769, thread 2732793856, correlation 98
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031067375,1739292288031067466,91, process 3626769, thread 2732793856, correlation 99
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031067526,1739292288031067726,200, process 3626769, thread 2732793856, correlation 100
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031067796,1739292288031067996,200, process 3626769, thread 2732793856, correlation 101
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031068367,1739292288031068467,100, process 3626769, thread 2732793856, correlation 102
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031068528,1739292288031068617,89, process 3626769, thread 2732793856, correlation 103
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031068678,1739292288031068868,190, process 3626769, thread 2732793856, correlation 104
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031068998,1739292288031069189,191, process 3626769, thread 2732793856, correlation 105
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031069249,1739292288031069339,90, process 3626769, thread 2732793856, correlation 106
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031069399,1739292288031069599,200, process 3626769, thread 2732793856, correlation 107
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031069670,1739292288031069870,200, process 3626769, thread 2732793856, correlation 108
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031070591,1739292288031070692,101, process 3626769, thread 2732793856, correlation 109
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031070752,1739292288031070852,100, process 3626769, thread 2732793856, correlation 110
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031070912,1739292288031071102,190, process 3626769, thread 2732793856, correlation 111
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031071253,1739292288031071443,190, process 3626769, thread 2732793856, correlation 112
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031071513,1739292288031071603,90, process 3626769, thread 2732793856, correlation 113
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031071663,1739292288031071864,201, process 3626769, thread 2732793856, correlation 114
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031071924,1739292288031072134,210, process 3626769, thread 2732793856, correlation 115
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031072445,1739292288031072545,100, process 3626769, thread 2732793856, correlation 116
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031072605,1739292288031072715,110, process 3626769, thread 2732793856, correlation 117
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031072776,1739292288031072966,190, process 3626769, thread 2732793856, correlation 118
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031073116,1739292288031073297,181, process 3626769, thread 2732793856, correlation 119
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031073357,1739292288031073457,100, process 3626769, thread 2732793856, correlation 120
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031073517,1739292288031073717,200, process 3626769, thread 2732793856, correlation 121
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031073777,1739292288031073988,211, process 3626769, thread 2732793856, correlation 122
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031074368,1739292288031074469,101, process 3626769, thread 2732793856, correlation 123
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031074529,1739292288031074619,90, process 3626769, thread 2732793856, correlation 124
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031074679,1739292288031074869,190, process 3626769, thread 2732793856, correlation 125
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031075020,1739292288031075200,180, process 3626769, thread 2732793856, correlation 126
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031075260,1739292288031075360,100, process 3626769, thread 2732793856, correlation 127
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031075420,1739292288031075621,201, process 3626769, thread 2732793856, correlation 128
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031075681,1739292288031075891,210, process 3626769, thread 2732793856, correlation 129
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031076242,1739292288031076342,100, process 3626769, thread 2732793856, correlation 130
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031076402,1739292288031076492,90, process 3626769, thread 2732793856, correlation 131
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031076552,1739292288031076743,191, process 3626769, thread 2732793856, correlation 132
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031076863,1739292288031077053,190, process 3626769, thread 2732793856, correlation 133
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031077113,1739292288031077214,101, process 3626769, thread 2732793856, correlation 134
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031077274,1739292288031077474,200, process 3626769, thread 2732793856, correlation 135
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031077534,1739292288031077745,211, process 3626769, thread 2732793856, correlation 136
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031078055,1739292288031078155,100, process 3626769, thread 2732793856, correlation 137
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031078216,1739292288031078306,90, process 3626769, thread 2732793856, correlation 138
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031078376,1739292288031078566,190, process 3626769, thread 2732793856, correlation 139
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031078687,1739292288031078867,180, process 3626769, thread 2732793856, correlation 140
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031078937,1739292288031079027,90, process 3626769, thread 2732793856, correlation 141
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031079097,1739292288031079298,201, process 3626769, thread 2732793856, correlation 142
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031079358,1739292288031079568,210, process 3626769, thread 2732793856, correlation 143
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031079889,1739292288031079999,110, process 3626769, thread 2732793856, correlation 144
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031080059,1739292288031080149,90, process 3626769, thread 2732793856, correlation 145
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031080219,1739292288031080410,191, process 3626769, thread 2732793856, correlation 146
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031080530,1739292288031080720,190, process 3626769, thread 2732793856, correlation 147
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031080780,1739292288031080881,101, process 3626769, thread 2732793856, correlation 148
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031080941,1739292288031081151,210, process 3626769, thread 2732793856, correlation 149
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031081211,1739292288031081422,211, process 3626769, thread 2732793856, correlation 150
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031082794,1739292288031082895,101, process 3626769, thread 2732793856, correlation 151
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031082955,1739292288031083045,90, process 3626769, thread 2732793856, correlation 152
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031083115,1739292288031083295,180, process 3626769, thread 2732793856, correlation 153
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031083445,1739292288031083626,181, process 3626769, thread 2732793856, correlation 154
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031083686,1739292288031083786,100, process 3626769, thread 2732793856, correlation 155
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031083846,1739292288031084047,201, process 3626769, thread 2732793856, correlation 156
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031084107,1739292288031084317,210, process 3626769, thread 2732793856, correlation 157
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031084678,1739292288031084778,100, process 3626769, thread 2732793856, correlation 158
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031084838,1739292288031084928,90, process 3626769, thread 2732793856, correlation 159
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031084988,1739292288031085179,191, process 3626769, thread 2732793856, correlation 160
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031085329,1739292288031085509,180, process 3626769, thread 2732793856, correlation 161
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031085569,1739292288031085680,111, process 3626769, thread 2732793856, correlation 162
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031085740,1739292288031085930,190, process 3626769, thread 2732793856, correlation 163
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031086000,1739292288031086211,211, process 3626769, thread 2732793856, correlation 164
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031086491,1739292288031086591,100, process 3626769, thread 2732793856, correlation 165
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031086651,1739292288031086752,101, process 3626769, thread 2732793856, correlation 166
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031086812,1739292288031087002,190, process 3626769, thread 2732793856, correlation 167
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031087123,1739292288031087303,180, process 3626769, thread 2732793856, correlation 168
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031087373,1739292288031087463,90, process 3626769, thread 2732793856, correlation 169
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031087533,1739292288031087733,200, process 3626769, thread 2732793856, correlation 170
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031087794,1739292288031087994,200, process 3626769, thread 2732793856, correlation 171
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031088315,1739292288031088415,100, process 3626769, thread 2732793856, correlation 172
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031088475,1739292288031088575,100, process 3626769, thread 2732793856, correlation 173
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031088635,1739292288031088826,191, process 3626769, thread 2732793856, correlation 174
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031088946,1739292288031089136,190, process 3626769, thread 2732793856, correlation 175
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031089196,1739292288031089296,100, process 3626769, thread 2732793856, correlation 176
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031089357,1739292288031089557,200, process 3626769, thread 2732793856, correlation 177
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031089617,1739292288031089828,211, process 3626769, thread 2732793856, correlation 178
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031090248,1739292288031090349,101, process 3626769, thread 2732793856, correlation 179
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031090409,1739292288031090509,100, process 3626769, thread 2732793856, correlation 180
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031090569,1739292288031090759,190, process 3626769, thread 2732793856, correlation 181
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031090879,1739292288031091060,181, process 3626769, thread 2732793856, correlation 182
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031091120,1739292288031091220,100, process 3626769, thread 2732793856, correlation 183
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031091280,1739292288031091481,201, process 3626769, thread 2732793856, correlation 184
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031091541,1739292288031091751,210, process 3626769, thread 2732793856, correlation 185
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031092402,1739292288031092513,111, process 3626769, thread 2732793856, correlation 186
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031092563,1739292288031092663,100, process 3626769, thread 2732793856, correlation 187
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031092723,1739292288031092913,190, process 3626769, thread 2732793856, correlation 188
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031093063,1739292288031093244,181, process 3626769, thread 2732793856, correlation 189
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031093304,1739292288031093404,100, process 3626769, thread 2732793856, correlation 190
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031093464,1739292288031093665,201, process 3626769, thread 2732793856, correlation 191
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031093725,1739292288031093935,210, process 3626769, thread 2732793856, correlation 192
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031094296,1739292288031094406,110, process 3626769, thread 2732793856, correlation 193
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031094466,1739292288031094557,91, process 3626769, thread 2732793856, correlation 194
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031094626,1739292288031094817,191, process 3626769, thread 2732793856, correlation 195
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031094967,1739292288031095147,180, process 3626769, thread 2732793856, correlation 196
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031095208,1739292288031095298,90, process 3626769, thread 2732793856, correlation 197
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031095368,1739292288031095568,200, process 3626769, thread 2732793856, correlation 198
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031095628,1739292288031095829,201, process 3626769, thread 2732793856, correlation 199
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031096350,1739292288031096450,100, process 3626769, thread 2732793856, correlation 200
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031096510,1739292288031096610,100, process 3626769, thread 2732793856, correlation 201
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031096670,1739292288031096861,191, process 3626769, thread 2732793856, correlation 202
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031097021,1739292288031097201,180, process 3626769, thread 2732793856, correlation 203
